1719469431.5493503 0.017692 0.024936 0.009151 -0.027201 0.000413 0.041795 0.998756 0.010526 0.111622 0.083875
1719469431.6494246 0.013143 0.028196 0.020047 -0.025331 -0.004855 0.069784 0.997229 0.002065 0.072061 0.120543
1719469431.7494988 0.005116 0.022098 0.029377 0.007342 -0.023044 0.092173 0.995449 -0.036510 0.038619 0.110773
1719469431.8495731 -0.002338 0.018256 0.035663 0.028651 -0.053674 0.106099 0.992492 -0.026682 0.072778 0.094084
1719469431.9496474 -0.001958 0.021497 0.039761 0.016193 -0.069168 0.096085 0.992835 0.081161 0.087997 0.072998
1719469432.0163631 0.003841 0.024116 0.040668 0.012626 -0.069139 0.095797 0.992917 0.143152 0.058940 0.082350
1719469432.1164362 0.011875 0.030119 0.051871 0.032276 -0.080828 0.091885 0.991959 0.094832 0.052529 0.105247
1719469432.2165096 0.018334 0.038462 0.070433 0.048075 -0.110362 0.070520 0.990220 0.108829 0.031192 0.156279
1719469432.3165829 0.023340 0.045504 0.093666 0.068643 -0.140632 0.073767 0.984921 0.119766 0.011335 0.183943
1719469432.4166563 0.038416 0.048902 0.113656 0.070151 -0.146647 0.065262 0.984538 0.243673 -0.062959 0.188413
1719469432.5167298 0.061465 0.042433 0.136804 0.086141 -0.130234 0.069158 0.985310 0.219248 -0.192027 0.185260
1719469432.5834453 0.075393 0.031884 0.146967 0.092800 -0.129002 0.050985 0.985975 0.208601 -0.240496 0.136037
1719469432.6835186 0.098799 0.006031 0.163505 0.116673 -0.117457 0.036882 0.985510 0.181082 -0.359072 0.087320
1719469432.7835920 0.113016 -0.026715 0.180424 0.145013 -0.125971 0.032455 0.980841 0.016758 -0.391251 0.061293
1719469432.8836656 0.115264 -0.062752 0.195272 0.164752 -0.137796 0.018160 0.976493 -0.062350 -0.424725 -0.020197
1719469432.9837394 0.119209 -0.095652 0.202183 0.157446 -0.123587 -0.009719 0.979716 -0.047925 -0.386253 -0.072051
1719469433.0838134 0.117248 -0.124417 0.191711 0.115552 -0.081046 -0.043434 0.989036 -0.062547 -0.333134 -0.148080
1719469433.1838877 0.105279 -0.148567 0.170302 0.081860 -0.045861 -0.069958 0.993127 -0.155585 -0.307015 -0.210799
1719469433.2506039 0.096175 -0.162513 0.152905 0.075922 -0.033074 -0.087892 0.992682 -0.194432 -0.268894 -0.235692
1719469433.3506782 0.085966 -0.183647 0.131443 0.069177 -0.020960 -0.120280 0.990105 -0.244598 -0.159245 -0.256369
1719469433.4507527 0.069312 -0.200304 0.111818 0.049837 -0.002272 -0.144038 0.988314 -0.238487 -0.062431 -0.258818
1719469433.5508273 0.060955 -0.211624 0.094828 0.020797 0.035827 -0.170747 0.984444 -0.240674 0.064023 -0.212888
1719469433.6509016 0.049171 -0.211669 0.080741 -0.004366 0.054170 -0.179001 0.982347 -0.234446 0.133640 -0.180470
1719469433.7509761 0.038052 -0.203602 0.058137 -0.013009 0.076624 -0.171608 0.982095 -0.182388 0.197572 -0.228140
1719469433.8510506 0.026466 -0.187336 0.029804 -0.020291 0.100679 -0.154705 0.982608 -0.159505 0.239914 -0.269205
1719469433.9177668 0.020401 -0.173588 0.012692 -0.020586 0.103757 -0.138024 0.984764 -0.188093 0.294555 -0.238052
1719469434.0178392 0.001757 -0.139020 -0.002275 -0.032674 0.077022 -0.107873 0.990638 -0.171641 0.363820 -0.176268
1719469434.1179104 -0.009139 -0.106090 -0.009167 -0.041410 0.056661 -0.091044 0.993371 -0.150505 0.330814 -0.115531
1719469434.2179816 -0.018668 -0.074502 -0.011652 -0.039401 0.039011 -0.061330 0.996576 -0.109827 0.338610 -0.082881
1719469434.3180530 -0.026781 -0.041823 -0.014784 -0.052559 0.032203 -0.046352 0.997022 -0.045440 0.324606 -0.058383
1719469434.4181240 -0.033663 -0.015860 -0.015299 -0.050251 0.020109 -0.021320 0.998307 -0.034992 0.246140 -0.029399
1719469434.5181952 -0.040518 0.004203 -0.014742 -0.031932 0.001705 0.000386 0.999489 -0.003934 0.162932 -0.010065
1719469434.5849092 -0.046014 0.011464 -0.011056 -0.015044 -0.011166 0.004342 0.999815 -0.012546 0.116515 0.009379
